20                                      Ekin                  Epot 0                  Epot 1                  Etot 0                  Etot 1                   Pop 0                   Pop 1
58                        0.0639754609924509   -302.8513316512130586   -302.7131971433564672   -302.8513316512130586   -302.7131971433564672      0.0000031850539256      0.9999968149460521
59                        0.0638942609448005   -302.8506799907234495   -302.7131961226358499   -302.8506799907234495   -302.7131961226358499      0.0000034245761772      0.9999965754238532
60                        0.0639168516768011   -302.8500706160107256   -302.7131933039560749   -302.8500706160107256   -302.7131933039560749      0.0000032311675211      0.9999967688324797
61                        0.0640794637746118   -302.8494802183690240   -302.7131973978420660   -302.8494802183690240   -302.7131973978420660      0.0000028523295864      0.9999971476704239
62                        0.0643473502232332   -302.8489157122791653   -302.7132021101749046   -302.8489157122791653   -302.7132021101749046      0.0000027817612039      0.9999972182387682
63                        0.0646538704791808   -302.8483861151175915   -302.7132067288254120   -302.8483861151175915   -302.7132067288254120      0.0000030135077331      0.9999969864922398
64                        0.0648940003140580   -302.8478988046815630   -302.7132238838217404   -302.8478988046815630   -302.7132238838217404      0.0000032265780901      0.9999967734218399
65                        0.0648944691084288   -302.8474734273536910   -302.7132264207252774   -302.8474734273536910   -302.7132264207252774      0.0000031993983528      0.9999968006016861
66                        0.0646291665610218   -302.8470233290197484   -302.7132157468170703   -302.8470233290197484   -302.7132157468170703      0.0000027141217818      0.9999972858781929
67                        0.0642455369423218   -302.8464746407615280   -302.7132114426414091   -302.8464746407615280   -302.7132114426414091      0.0000021266797443      0.9999978733202517
68                        0.0638758857322571   -302.8459042801968053   -302.7132078259625132   -302.8459042801968053   -302.7132078259625132      0.0000017889169744      0.9999982110830155
69                        0.0635306387850534   -302.8453613779420834   -302.7132164396340386   -302.8453613779420834   -302.7132164396340386      0.0000015826954503      0.9999984173045553
70                        0.0631699978115526   -302.8448137361189652   -302.7132019284942430   -302.8448137361189652   -302.7132019284942430      0.0000014734537305      0.9999985265462686
71                        0.0629576596350011   -302.8443050007098236   -302.7131831785278564   -302.8443050007098236   -302.7131831785278564      0.0000014342161273      0.9999985657838774
72                        0.0631109250957772   -302.8438806459609509   -302.7131870978411143   -302.8438806459609509   -302.7131870978411143      0.0000014750128746      0.9999985249871163
73                        0.0635650000900139   -302.8435767873089617   -302.7132090913000297   -302.8435767873089617   -302.7132090913000297      0.0000015767636769      0.9999984232363133
74                        0.0640556633679231   -302.8433804600602457   -302.7132106007564403   -302.8433804600602457   -302.7132106007564403      0.0000017230887562      0.9999982769112262
75                        0.0644913277195941   -302.8431877187127270   -302.7132015245940124   -302.8431877187127270   -302.7132015245940124      0.0000018093866925      0.9999981906133092
76                        0.0649154565823312   -302.8429199016850362   -302.7132025125242762   -302.8429199016850362   -302.7132025125242762      0.0000018037671348      0.9999981962328727
77                        0.0653057583794842   -302.8425902568986885   -302.7132022614418929   -302.8425902568986885   -302.7132022614418929      0.0000017428242631      0.9999982571757299
78                        0.0656674685421828   -302.8421778287215034   -302.7131932694436500   -302.8421778287215034   -302.7131932694436500      0.0000016928562553      0.9999983071437446
79                        0.0660764171897260   -302.8416640956080528   -302.7131955346471273   -302.8416640956080528   -302.7131955346471273      0.0000017756405773      0.9999982243594123
80                        0.0664981203171451   -302.8410974194859477   -302.7132110348511560   -302.8410974194859477   -302.7132110348511560      0.0000019941899706      0.9999980058100245
81                        0.0667798997263667   -302.8405449910293896   -302.7132143479437332   -302.8405449910293896   -302.7132143479437332      0.0000021887648999      0.9999978112350602
82                        0.0668828599303070   -302.8400600696434708   -302.7132057586121618   -302.8400600696434708   -302.7132057586121618      0.0000023161884179      0.9999976838115939
83                        0.0669762484950065   -302.8396752886314971   -302.7131850689841599   -302.8396752886314971   -302.7131850689841599      0.0000024266531508      0.9999975733467982
84                        0.0673509487575671   -302.8393928743399215   -302.7131721668006321   -302.8393928743399215   -302.7131721668006321      0.0000025639948381      0.9999974360051305
85                        0.0681688887770846   -302.8391977594276909   -302.7131795588286423   -302.8391977594276909   -302.7131795588286423      0.0000030883481093      0.9999969116518871
86                        0.0693367002840388   -302.8390515718806455   -302.7131957470519978   -302.8390515718806455   -302.7131957470519978      0.0000040491182529      0.9999959508817697
87                        0.0705948774406908   -302.8388411128789812   -302.7132208808563973   -302.8388411128789812   -302.7132208808563973      0.0000052648458302      0.9999947351541516
88                        0.0715981510853681   -302.8385373837841712   -302.7132423470993672   -302.8385373837841712   -302.7132423470993672      0.0000064579327655      0.9999935420673089
89                        0.0721290975346058   -302.8382184371245671   -302.7132280140351668   -302.8382184371245671   -302.7132280140351668      0.0000073118502347      0.9999926881498207
90                        0.0723170393699992   -302.8379083883729095   -302.7132122659233460   -302.8379083883729095   -302.7132122659233460      0.0000077670799527      0.9999922329200641
91                        0.0723989446599871   -302.8375991149469542   -302.7132089843934750   -302.8375991149469542   -302.7132089843934750      0.0000081095870450      0.9999918904128681
92                        0.0724200282187399   -302.8372979581318987   -302.7132187326322992   -302.8372979581318987   -302.7132187326322992      0.0000088226264761      0.9999911773734534
93                        0.0723193103693889   -302.8369940905692488   -302.7132110219134802   -302.8369940905692488   -302.7132110219134802      0.0000101461581854      0.9999898538419756
